timestamp	model_name	split	rmse	mae	mape	spearman	rows
2026-05-05T16:22:15	ridge_baseline	validation	1858878.270306	1310621.607564	14.634026	0.150736	2306
2026-05-05T16:22:15	search_week4_release_plus_regime_combo_huber_eps_1_35_v1	validation	1328169.539574	875849.135285	6.016124	0.455865	2306
2026-05-05T16:22:32	zero_growth_baseline	validation	1567991.665051	967837.322203	1.000000	0.028546	2306
2026-05-05T16:22:32	previous_30d_growth_baseline	validation	2073583.150750	1317307.739376	5.564849	0.168039	2306
2026-05-05T16:22:32	ridge_baseline	validation	1858878.270306	1310621.607564	14.634026	0.150736	2306
2026-05-05T16:22:32	search_week4_release_plus_momentum_family_huber_eps_1_30_v1	validation	1330932.242603	869813.357611	6.584130	0.464469	2306
2026-05-05T16:23:02	zero_growth_baseline	validation	1567991.665051	967837.322203	1.000000	0.028546	2306
2026-05-05T16:23:02	previous_30d_growth_baseline	validation	2073583.150750	1317307.739376	5.564849	0.168039	2306
2026-05-05T16:23:02	ridge_baseline	validation	1858878.270306	1310621.607564	14.634026	0.150736	2306
2026-05-05T16:23:02	search_week4_release_plus_regime_combo_huber_eps_1_15_v1	validation	1327621.268709	859850.857181	5.241067	0.455821	2306
2026-05-05T16:23:19	zero_growth_baseline	validation	1567991.665051	967837.322203	1.000000	0.028546	2306
2026-05-05T16:23:19	previous_30d_growth_baseline	validation	2073583.150750	1317307.739376	5.564849	0.168039	2306
2026-05-05T16:23:19	ridge_baseline	validation	1858878.270306	1310621.607564	14.634026	0.150736	2306
2026-05-05T16:23:19	search_week4_release_plus_regime_combo_huber_eps_1_20_v1	validation	1326674.468138	862524.011240	5.391776	0.456357	2306
2026-05-05T16:23:57	zero_growth_baseline	validation	1567991.665051	967837.322203	1.000000	0.028546	2306
2026-05-05T16:23:57	previous_30d_growth_baseline	validation	2073583.150750	1317307.739376	5.564849	0.168039	2306
2026-05-05T16:23:57	ridge_baseline	validation	1858878.270306	1310621.607564	14.634026	0.150736	2306
2026-05-05T16:23:57	search_week4_release_plus_regime_combo_huber_eps_1_25_v1	validation	1326596.550141	865851.633354	5.562531	0.456486	2306
2026-05-05T16:23:57	search_week4_release_plus_regime_combo_huber_eps_1_25_v1	test	2000247.738591	1036561.610196	3.945584	0.368676	2332
2026-05-05T16:36:25	zero_growth_baseline	validation	1567991.665051	967837.322203	1.000000	0.028546	2306
2026-05-05T16:36:25	previous_30d_growth_baseline	validation	2073583.150750	1317307.739376	5.564849	0.168039	2306
2026-05-05T16:36:25	ridge_baseline	validation	1858878.270306	1310621.607564	14.634026	0.150736	2306
2026-05-05T16:36:25	search_week4_ratio_family_huber_eps_1_25_v1	validation	1324378.936954	859645.954043	5.184773	0.457998	2306
2026-05-05T16:36:39	zero_growth_baseline	validation	1567991.665051	967837.322203	1.000000	0.028546	2306
2026-05-05T16:36:39	previous_30d_growth_baseline	validation	2073583.150750	1317307.739376	5.564849	0.168039	2306
2026-05-05T16:36:39	ridge_baseline	validation	1858878.270306	1310621.607564	14.634026	0.150736	2306
2026-05-05T16:36:39	search_week4_release_plus_regime_combo_huber_eps_1_22_v1	validation	1326532.826405	863761.595762	5.456215	0.456418	2306
2026-05-05T16:36:56	zero_growth_baseline	validation	1567991.665051	967837.322203	1.000000	0.028546	2306
2026-05-05T16:36:56	previous_30d_growth_baseline	validation	2073583.150750	1317307.739376	5.564849	0.168039	2306
2026-05-05T16:36:56	ridge_baseline	validation	1858878.270306	1310621.607564	14.634026	0.150736	2306
2026-05-05T16:36:56	search_week4_ratio_family_huber_eps_1_22_v1	validation	1324395.074947	858196.456016	5.097890	0.457586	2306
2026-05-05T16:37:10	zero_growth_baseline	validation	1567991.665051	967837.322203	1.000000	0.028546	2306
2026-05-05T16:37:10	previous_30d_growth_baseline	validation	2073583.150750	1317307.739376	5.564849	0.168039	2306
2026-05-05T16:37:10	ridge_baseline	validation	1858878.270306	1310621.607564	14.634026	0.150736	2306
2026-05-05T16:37:10	search_week4_ratio_family_huber_eps_1_20_v1	validation	1324568.819282	857346.838568	5.043560	0.457436	2306
2026-05-05T16:37:26	zero_growth_baseline	validation	1567991.665051	967837.322203	1.000000	0.028546	2306
2026-05-05T16:37:26	previous_30d_growth_baseline	validation	2073583.150750	1317307.739376	5.564849	0.168039	2306
2026-05-05T16:37:26	ridge_baseline	validation	1858878.270306	1310621.607564	14.634026	0.150736	2306
2026-05-05T16:37:26	search_week4_ratio_family_huber_eps_1_18_v1	validation	1324857.527470	856572.819382	4.992846	0.457154	2306
2026-05-05T16:38:03	zero_growth_baseline	validation	1567991.665051	967837.322203	1.000000	0.028546	2306
2026-05-05T16:38:03	previous_30d_growth_baseline	validation	2073583.150750	1317307.739376	5.564849	0.168039	2306
2026-05-05T16:38:03	ridge_baseline	validation	1858878.270306	1310621.607564	14.634026	0.150736	2306
2026-05-05T16:38:03	search_week4_ratio_family_huber_eps_1_25_v1	validation	1324378.936954	859645.954043	5.184773	0.457998	2306
2026-05-05T16:38:03	search_week4_ratio_family_huber_eps_1_25_v1	test	2003204.158699	1031678.962416	3.550610	0.373985	2332
2026-05-05T16:48:36	zero_growth_baseline	validation	1567991.665051	967837.322203	1.000000	0.028546	2306
2026-05-05T16:48:36	previous_30d_growth_baseline	validation	2073583.150750	1317307.739376	5.564849	0.168039	2306
2026-05-05T16:48:36	ridge_baseline	validation	1858878.270306	1310621.607564	14.634026	0.150736	2306
2026-05-05T16:48:36	search_week4_ratio_family_blend_huber125_extra400l4_w62_v1	validation	1249437.991995	835425.736741	4.994817	0.500372	2306
2026-05-05T16:49:02	zero_growth_baseline	validation	1567991.665051	967837.322203	1.000000	0.028546	2306
2026-05-05T16:49:02	previous_30d_growth_baseline	validation	2073583.150750	1317307.739376	5.564849	0.168039	2306
2026-05-05T16:49:02	ridge_baseline	validation	1858878.270306	1310621.607564	14.634026	0.150736	2306
2026-05-05T16:49:02	search_week4_ratio_family_blend_huber125_extra400l4_w65_v1	validation	1251089.916288	834810.918357	4.996272	0.498365	2306
2026-05-05T16:49:18	zero_growth_baseline	validation	1567991.665051	967837.322203	1.000000	0.028546	2306
2026-05-05T16:49:18	previous_30d_growth_baseline	validation	2073583.150750	1317307.739376	5.564849	0.168039	2306
2026-05-05T16:49:18	ridge_baseline	validation	1858878.270306	1310621.607564	14.634026	0.150736	2306
2026-05-05T16:49:18	search_week4_ratio_family_blend_huber125_extra400_w65_v1	validation	1253400.688130	839987.493045	5.196550	0.509804	2306
2026-05-05T16:50:28	zero_growth_baseline	validation	1567991.665051	967837.322203	1.000000	0.028546	2306
2026-05-05T16:50:28	previous_30d_growth_baseline	validation	2073583.150750	1317307.739376	5.564849	0.168039	2306
2026-05-05T16:50:28	ridge_baseline	validation	1858878.270306	1310621.607564	14.634026	0.150736	2306
2026-05-05T16:50:28	search_week4_ratio_family_blend_huber125_extra400l4_w58_v1	validation	1248417.768578	836902.517578	5.018270	0.501978	2306
2026-05-05T16:54:48	zero_growth_baseline	validation	1567991.665051	967837.322203	1.000000	0.028546	2306
2026-05-05T16:54:48	previous_30d_growth_baseline	validation	2073583.150750	1317307.739376	5.564849	0.168039	2306
2026-05-05T16:54:48	ridge_baseline	validation	1858878.270306	1310621.607564	14.634026	0.150736	2306
2026-05-05T16:54:48	search_week4_ratio_family_blend_huber125_extra400l4_w60_v1	validation	1248758.730356	836084.748820	5.006156	0.501397	2306
2026-05-05T16:57:21	zero_growth_baseline	validation	1567991.665051	967837.322203	1.000000	0.028546	2306
2026-05-05T16:57:21	previous_30d_growth_baseline	validation	2073583.150750	1317307.739376	5.564849	0.168039	2306
2026-05-05T16:57:21	ridge_baseline	validation	1858878.270306	1310621.607564	14.634026	0.150736	2306
2026-05-05T16:57:21	search_week4_ratio_family_blend_huber125_extra400l4_w58_v1	validation	1248417.768578	836902.517578	5.018270	0.501978	2306
2026-05-05T16:57:21	search_week4_ratio_family_blend_huber125_extra400l4_w58_v1	test	2034565.166098	1073935.447295	2.956260	0.285365	2332
2026-05-05T20:28:25	zero_growth_baseline	validation	1567991.665051	967837.322203	1.000000	0.028546	2306
2026-05-05T20:28:25	previous_30d_growth_baseline	validation	2073583.150750	1317307.739376	5.564849	0.168039	2306
2026-05-05T20:28:25	ridge_baseline	validation	1858878.270306	1310621.607564	14.634026	0.150736	2306
2026-05-05T20:28:25	search_week4_ratio_family_blend_huber125_extra400l4_w58_v1	validation	1252084.029661	838923.938759	4.929502	0.496465	2306
2026-05-05T20:29:32	zero_growth_baseline	validation	1567991.665051	967837.322203	1.000000	0.028546	2306
2026-05-05T20:29:32	previous_30d_growth_baseline	validation	2073583.150750	1317307.739376	5.564849	0.168039	2306
2026-05-05T20:29:32	ridge_baseline	validation	1858878.270306	1310621.607564	14.634026	0.150736	2306
2026-05-05T20:29:32	search_week4_ratio_family_blend_huber125_extra400l4_w58_v1	validation	1248417.768578	836902.517578	5.018270	0.501978	2306
2026-05-05T20:30:10	zero_growth_baseline	validation	1567991.665051	967837.322203	1.000000	0.028546	2306
2026-05-05T20:30:10	previous_30d_growth_baseline	validation	2073583.150750	1317307.739376	5.564849	0.168039	2306
2026-05-05T20:30:10	ridge_baseline	validation	1858878.270306	1310621.607564	14.634026	0.150736	2306
2026-05-05T20:30:10	search_week4_ratio_family_blend_huber125_extra400l4_w58_v1	validation	1248417.768578	836902.517578	5.018270	0.501978	2306
2026-05-05T20:30:11	search_week4_ratio_family_blend_huber125_extra400l4_w58_v1	test	2034565.166098	1073935.447295	2.956260	0.285365	2332
2026-05-05T21:38:01	zero_growth_baseline	validation	1567991.665051	967837.322203	1.000000	0.028546	2306
2026-05-05T21:38:01	previous_30d_growth_baseline	validation	2073583.150750	1317307.739376	5.564849	0.168039	2306
2026-05-05T21:38:01	ridge_baseline	validation	1858878.270306	1310621.607564	14.634026	0.150736	2306
2026-05-05T21:38:01	search_week4_ratio_family_huber_eps_1_25_v1	validation	1324378.936954	859645.954043	5.184773	0.457998	2306
2026-05-05T21:38:31	zero_growth_baseline	validation	1567991.665051	967837.322203	1.000000	0.028546	2306
2026-05-05T21:38:31	previous_30d_growth_baseline	validation	2073583.150750	1317307.739376	5.564849	0.168039	2306
2026-05-05T21:38:31	ridge_baseline	validation	1858878.270306	1310621.607564	14.634026	0.150736	2306
2026-05-05T21:38:31	search_week4_ratio_family_huber_eps_1_25_v1	validation	1324378.936954	859645.954043	5.184773	0.457998	2306
2026-05-05T21:38:31	search_week4_ratio_family_huber_eps_1_25_v1	test	2003204.158699	1031678.962416	3.550610	0.373985	2332
2026-05-05T21:39:07	zero_growth_baseline	validation	1567991.665051	967837.322203	1.000000	0.028546	2306
2026-05-05T21:39:07	previous_30d_growth_baseline	validation	2073583.150750	1317307.739376	5.564849	0.168039	2306
2026-05-05T21:39:07	ridge_baseline	validation	1858878.270306	1310621.607564	14.634026	0.150736	2306
2026-05-05T21:39:07	search_week4_ratio_family_huber_eps_1_22_v1	validation	1324395.074947	858196.456016	5.097890	0.457586	2306
2026-05-05T21:39:53	zero_growth_baseline	validation	1567991.665051	967837.322203	1.000000	0.028546	2306
2026-05-05T21:39:53	previous_30d_growth_baseline	validation	2073583.150750	1317307.739376	5.564849	0.168039	2306
2026-05-05T21:39:53	ridge_baseline	validation	1858878.270306	1310621.607564	14.634026	0.150736	2306
2026-05-05T21:39:53	search_week4_ratio_family_huber_eps_1_20_v1	validation	1324568.819282	857346.838568	5.043560	0.457436	2306
2026-05-05T21:40:28	zero_growth_baseline	validation	1567991.665051	967837.322203	1.000000	0.028546	2306
2026-05-05T21:40:28	previous_30d_growth_baseline	validation	2073583.150750	1317307.739376	5.564849	0.168039	2306
2026-05-05T21:40:28	ridge_baseline	validation	1858878.270306	1310621.607564	14.634026	0.150736	2306
2026-05-05T21:40:28	search_week4_ratio_family_blend_huber125_extra400l4_w70_v1	validation	1255522.953704	834645.391173	5.008501	0.495504	2306
2026-05-05T21:40:54	zero_growth_baseline	validation	1567991.665051	967837.322203	1.000000	0.028546	2306
2026-05-05T21:40:54	previous_30d_growth_baseline	validation	2073583.150750	1317307.739376	5.564849	0.168039	2306
2026-05-05T21:40:54	ridge_baseline	validation	1858878.270306	1310621.607564	14.634026	0.150736	2306
2026-05-05T21:40:54	search_week4_ratio_family_blend_huber125_extra400l6_w65_v1	validation	1252146.765813	838336.315839	5.042837	0.489881	2306
2026-05-05T21:41:21	zero_growth_baseline	validation	1567991.665051	967837.322203	1.000000	0.028546	2306
2026-05-05T21:41:21	previous_30d_growth_baseline	validation	2073583.150750	1317307.739376	5.564849	0.168039	2306
2026-05-05T21:41:21	ridge_baseline	validation	1858878.270306	1310621.607564	14.634026	0.150736	2306
